source,target,weight,count,occ_a
BULL_ST,FISHBURNE_ST,0.4,4,10
BULL_ST,ASHLEY_AVE,0.4,4,10
BULL_ST,RUTLEDGE_AVE,0.4,4,10
AMERICA_ST,CALHOUN_ST,0.4166666666666667,5,12
AMERICA_ST,S_MARKET_ST,0.5,6,12
AMERICA_ST,ASHLEY_AVE,0.4166666666666667,5,12
AMERICA_ST,WASHINGTON_ST,0.4166666666666667,5,12
OGIER_ST,S_MARKET_ST,0.5384615384615384,7,13
OGIER_ST,HAGOOD_AVE,0.46153846153846156,6,13
OGIER_ST,ASHLEY_AVE,0.6923076923076923,9,13
BENNETT_ST,HAGOOD_AVE,0.46153846153846156,6,13
BENNETT_ST,ASHLEY_AVE,0.5384615384615384,7,13
BEAUFAIN_ST,CALHOUN_ST,0.4,4,10
BEAUFAIN_ST,ASHLEY_AVE,0.4,4,10
PRESIDENT_ST,S_MARKET_ST,0.5,8,16
PRESIDENT_ST,CALHOUN_ST,0.4375,7,16
PRESIDENT_ST,ASHLEY_AVE,0.4375,7,16
PRESIDENT_ST,HAGOOD_AVE,0.4375,7,16
GADSDEN_ST,ASHLEY_AVE,0.5,7,14
FISHBURNE_ST,ASHLEY_AVE,0.5238095238095238,11,21
CHERRY_ST,HAGOOD_AVE,0.6153846153846154,8,13
CHERRY_ST,S_MARKET_ST,0.46153846153846156,6,13
CHERRY_ST,ASHLEY_AVE,0.46153846153846156,6,13
N_MARKET_ST,CALHOUN_ST,0.4166666666666667,5,12
N_MARKET_ST,PRESIDENT_ST,0.4166666666666667,5,12
N_MARKET_ST,S_MARKET_ST,0.8333333333333334,10,12
N_MARKET_ST,HAGOOD_AVE,0.5,6,12
N_MARKET_ST,WASHINGTON_ST,0.5833333333333334,7,12
WASHINGTON_ST,HAGOOD_AVE,0.4444444444444444,16,36
RUTLEDGE_AVE,ASHLEY_AVE,0.6875,11,16
RUTLEDGE_AVE,PRESIDENT_ST,0.4375,7,16
BARRE_ST,ASHLEY_AVE,0.6,9,15
BARRE_ST,HAGOOD_AVE,0.4666666666666667,7,15
