network_config,strategy,strategy_params,neg_pos_ratio,pred_threshold,evidence_ratio,occ_thr,edge_thr,weight_thr,total_samples,positive_samples,negative_samples,negative_candidates_count,evaluated_days,skipped_days,tp,fp,tn,fn,precision,recall,f1_score,accuracy,selection_criteria
Baseline,MarginalProbability,{'prob_threshold': 0.05},1.0,0.3,0.2,3,2,0.3,243,123,120,12,29,24,36,0,120,87,1.0,0.2926829268292683,0.45283018867924524,0.6419753086419753,top_precision
Baseline,MarginalProbability,{'prob_threshold': 0.05},1.0,0.4,0.2,3,2,0.3,243,123,120,12,29,24,13,0,120,110,1.0,0.10569105691056911,0.1911764705882353,0.5473251028806584,top_precision
Baseline,MarginalProbability,{'prob_threshold': 0.1},1.0,0.3,0.2,3,2,0.3,246,123,123,25,29,24,36,0,123,87,1.0,0.2926829268292683,0.45283018867924524,0.6463414634146342,top_precision
Baseline,MarginalProbability,{'prob_threshold': 0.1},1.0,0.4,0.2,3,2,0.3,246,123,123,25,29,24,13,0,123,110,1.0,0.10569105691056911,0.1911764705882353,0.5528455284552846,top_precision
Baseline,MarginalProbability,{'prob_threshold': 0.15},1.0,0.3,0.2,3,2,0.3,246,123,123,32,29,24,36,0,123,87,1.0,0.2926829268292683,0.45283018867924524,0.6463414634146342,top_precision
Baseline,MarginalProbability,{'prob_threshold': 0.15},1.0,0.4,0.2,3,2,0.3,246,123,123,32,29,24,13,0,123,110,1.0,0.10569105691056911,0.1911764705882353,0.5528455284552846,top_precision
Baseline,FloodFrequency,{'max_flood_count': 3},1.0,0.2,0.7,3,2,0.3,110,62,48,2,29,24,31,0,48,31,1.0,0.5,0.6666666666666666,0.7181818181818181,top_precision
Baseline,FloodFrequency,{'max_flood_count': 3},1.0,0.3,0.2,3,2,0.3,173,123,50,2,29,24,36,0,50,87,1.0,0.2926829268292683,0.45283018867924524,0.49710982658959535,top_precision
Baseline,FloodFrequency,{'max_flood_count': 3},1.0,0.3,0.3,3,2,0.3,163,113,50,2,29,24,35,0,50,78,1.0,0.30973451327433627,0.4729729729729729,0.5214723926380368,top_precision
Baseline,FloodFrequency,{'max_flood_count': 3},1.0,0.3,0.5,3,2,0.3,134,84,50,2,29,24,33,0,50,51,1.0,0.39285714285714285,0.5641025641025641,0.6194029850746269,top_precision
