occ_thr,edge_thr,weight_thr,evidence_count,pred_threshold,neg_pos_ratio,marginal_prob_threshold,tp,fp,tn,fn,total_samples,positive_samples,negative_samples,precision,recall,f1_score,accuracy,valid_days,total_days,network_nodes,negative_candidates_count,runtime_seconds
2,1,0.2,1,0.1,1.0,0.03,55,6,57,15,133,70,63,0.9016393442622951,0.7857142857142857,0.8396946564885497,0.8421052631578947,13,29,53,11,3.3770816326141357
2,1,0.2,1,0.1,1.0,0.05,55,15,55,15,140,70,70,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,13,29,53,24,1.0512192249298096
2,1,0.2,1,0.1,1.0,0.08,55,16,54,15,140,70,70,0.7746478873239436,0.7857142857142857,0.7801418439716311,0.7785714285714286,13,29,53,27,1.140920877456665
2,1,0.2,1,0.1,1.5,0.03,55,7,72,15,149,70,79,0.8870967741935484,0.7857142857142857,0.8333333333333333,0.8523489932885906,13,29,53,11,1.1223299503326416
2,1,0.2,1,0.1,1.5,0.05,55,18,82,15,170,70,100,0.7534246575342466,0.7857142857142857,0.7692307692307693,0.8058823529411765,13,29,53,24,1.1053638458251953
2,1,0.2,1,0.1,1.5,0.08,55,20,81,15,171,70,101,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.7953216374269005,13,29,53,27,1.0889008045196533
2,1,0.2,1,0.1,2.0,0.03,55,8,85,15,163,70,93,0.873015873015873,0.7857142857142857,0.8270676691729324,0.8588957055214724,13,29,53,11,1.0533816814422607
2,1,0.2,1,0.1,2.0,0.05,55,25,105,15,200,70,130,0.6875,0.7857142857142857,0.7333333333333334,0.8,13,29,53,24,1.1274700164794922
2,1,0.2,1,0.1,2.0,0.08,55,26,108,15,204,70,134,0.6790123456790124,0.7857142857142857,0.728476821192053,0.7990196078431373,13,29,53,27,1.1695811748504639
2,1,0.2,1,0.2,1.0,0.03,32,0,63,38,133,70,63,1.0,0.45714285714285713,0.6274509803921569,0.7142857142857143,13,29,53,11,1.011795997619629
2,1,0.2,1,0.2,1.0,0.05,32,1,69,38,140,70,70,0.9696969696969697,0.45714285714285713,0.6213592233009709,0.7214285714285714,13,29,53,24,1.0355415344238281
2,1,0.2,1,0.2,1.0,0.08,32,1,69,38,140,70,70,0.9696969696969697,0.45714285714285713,0.6213592233009709,0.7214285714285714,13,29,53,27,1.0350327491760254
2,1,0.2,1,0.2,1.5,0.03,32,0,79,38,149,70,79,1.0,0.45714285714285713,0.6274509803921569,0.7449664429530202,13,29,53,11,1.0933854579925537
2,1,0.2,1,0.2,1.5,0.05,32,1,99,38,170,70,100,0.9696969696969697,0.45714285714285713,0.6213592233009709,0.7705882352941177,13,29,53,24,1.1130855083465576
2,1,0.2,1,0.2,1.5,0.08,32,1,100,38,171,70,101,0.9696969696969697,0.45714285714285713,0.6213592233009709,0.7719298245614035,13,29,53,27,1.0857994556427002
2,1,0.2,1,0.2,2.0,0.03,32,0,93,38,163,70,93,1.0,0.45714285714285713,0.6274509803921569,0.7668711656441718,13,29,53,11,1.0622193813323975
2,1,0.2,1,0.2,2.0,0.05,32,1,129,38,200,70,130,0.9696969696969697,0.45714285714285713,0.6213592233009709,0.805,13,29,53,24,1.15736722946167
2,1,0.2,1,0.2,2.0,0.08,32,1,133,38,204,70,134,0.9696969696969697,0.45714285714285713,0.6213592233009709,0.8088235294117647,13,29,53,27,1.149423360824585
2,1,0.2,1,0.3,1.0,0.03,19,0,63,51,133,70,63,1.0,0.2714285714285714,0.42696629213483145,0.6165413533834586,13,29,53,11,1.0135085582733154
2,1,0.2,1,0.3,1.0,0.05,19,0,70,51,140,70,70,1.0,0.2714285714285714,0.42696629213483145,0.6357142857142857,13,29,53,24,1.0355181694030762
2,1,0.2,1,0.3,1.0,0.08,19,0,70,51,140,70,70,1.0,0.2714285714285714,0.42696629213483145,0.6357142857142857,13,29,53,27,1.030958652496338
2,1,0.2,1,0.3,1.5,0.03,19,0,79,51,149,70,79,1.0,0.2714285714285714,0.42696629213483145,0.6577181208053692,13,29,53,11,1.051356315612793
2,1,0.2,1,0.3,1.5,0.05,19,0,100,51,170,70,100,1.0,0.2714285714285714,0.42696629213483145,0.7,13,29,53,24,1.0948340892791748
2,1,0.2,1,0.3,1.5,0.08,19,0,101,51,171,70,101,1.0,0.2714285714285714,0.42696629213483145,0.7017543859649122,13,29,53,27,1.155444622039795
2,1,0.2,1,0.3,2.0,0.03,19,0,93,51,163,70,93,1.0,0.2714285714285714,0.42696629213483145,0.6871165644171779,13,29,53,11,1.0785400867462158
2,1,0.2,1,0.3,2.0,0.05,19,0,130,51,200,70,130,1.0,0.2714285714285714,0.42696629213483145,0.745,13,29,53,24,1.1690571308135986
2,1,0.2,1,0.3,2.0,0.08,19,0,134,51,204,70,134,1.0,0.2714285714285714,0.42696629213483145,0.75,13,29,53,27,1.17431640625
2,1,0.2,1,0.4,1.0,0.03,9,0,63,61,133,70,63,1.0,0.12857142857142856,0.22784810126582278,0.5413533834586466,13,29,53,11,1.018583059310913
2,1,0.2,1,0.4,1.0,0.05,9,0,70,61,140,70,70,1.0,0.12857142857142856,0.22784810126582278,0.5642857142857143,13,29,53,24,1.0484364032745361
2,1,0.2,1,0.4,1.0,0.08,9,0,70,61,140,70,70,1.0,0.12857142857142856,0.22784810126582278,0.5642857142857143,13,29,53,27,1.0395379066467285
2,1,0.2,1,0.4,1.5,0.03,9,0,79,61,149,70,79,1.0,0.12857142857142856,0.22784810126582278,0.5906040268456376,13,29,53,11,1.0347697734832764
2,1,0.2,1,0.4,1.5,0.05,9,0,100,61,170,70,100,1.0,0.12857142857142856,0.22784810126582278,0.6411764705882353,13,29,53,24,1.105327844619751
2,1,0.2,1,0.4,1.5,0.08,9,0,101,61,171,70,101,1.0,0.12857142857142856,0.22784810126582278,0.6432748538011696,13,29,53,27,1.111025094985962
2,1,0.2,1,0.4,2.0,0.03,9,0,93,61,163,70,93,1.0,0.12857142857142856,0.22784810126582278,0.6257668711656442,13,29,53,11,1.1274526119232178
2,1,0.2,1,0.4,2.0,0.05,9,0,130,61,200,70,130,1.0,0.12857142857142856,0.22784810126582278,0.695,13,29,53,24,1.144576072692871
2,1,0.2,1,0.4,2.0,0.08,9,0,134,61,204,70,134,1.0,0.12857142857142856,0.22784810126582278,0.7009803921568627,13,29,53,27,1.1656343936920166
2,1,0.2,1,0.5,1.0,0.03,1,0,63,69,133,70,63,1.0,0.014285714285714285,0.028169014084507043,0.48120300751879697,13,29,53,11,1.0234534740447998
2,1,0.2,1,0.5,1.0,0.05,1,0,70,69,140,70,70,1.0,0.014285714285714285,0.028169014084507043,0.5071428571428571,13,29,53,24,1.0282063484191895
2,1,0.2,1,0.5,1.0,0.08,1,0,70,69,140,70,70,1.0,0.014285714285714285,0.028169014084507043,0.5071428571428571,13,29,53,27,1.0237410068511963
2,1,0.2,1,0.5,1.5,0.03,1,0,79,69,149,70,79,1.0,0.014285714285714285,0.028169014084507043,0.5369127516778524,13,29,53,11,1.0439398288726807
2,1,0.2,1,0.5,1.5,0.05,1,0,100,69,170,70,100,1.0,0.014285714285714285,0.028169014084507043,0.5941176470588235,13,29,53,24,1.1069602966308594
2,1,0.2,1,0.5,1.5,0.08,1,0,101,69,171,70,101,1.0,0.014285714285714285,0.028169014084507043,0.5964912280701754,13,29,53,27,1.1078145503997803
2,1,0.2,1,0.5,2.0,0.03,1,0,93,69,163,70,93,1.0,0.014285714285714285,0.028169014084507043,0.5766871165644172,13,29,53,11,1.1311976909637451
2,1,0.2,1,0.5,2.0,0.05,1,0,130,69,200,70,130,1.0,0.014285714285714285,0.028169014084507043,0.655,13,29,53,24,1.162261724472046
2,1,0.2,1,0.5,2.0,0.08,1,0,134,69,204,70,134,1.0,0.014285714285714285,0.028169014084507043,0.6617647058823529,13,29,53,27,1.1757357120513916
2,1,0.2,2,0.1,1.0,0.03,48,10,42,9,109,57,52,0.8275862068965517,0.8421052631578947,0.8347826086956522,0.8256880733944955,11,29,53,11,1.0022618770599365
2,1,0.2,2,0.1,1.0,0.05,48,25,32,9,114,57,57,0.6575342465753424,0.8421052631578947,0.7384615384615385,0.7017543859649122,11,29,53,24,1.0150861740112305
2,1,0.2,2,0.1,1.0,0.08,48,24,33,9,114,57,57,0.6666666666666666,0.8421052631578947,0.744186046511628,0.7105263157894737,11,29,53,27,1.0172395706176758
2,1,0.2,2,0.1,1.5,0.03,48,16,50,9,123,57,66,0.75,0.8421052631578947,0.7933884297520661,0.7967479674796748,11,29,53,11,1.0014586448669434
