OBJECTID,STREET,LOCATION,TYPE,LANES,REASON,STATUS,START,END_,SOURCE,COMMENT,EVENT,created_date,last_edited_user,last_edited_date,created_user,REGION_CITY,AGO_USER,IS_DRILL,Shape__Length
1,BOGARD ST,BETWEEN SEPTIMA P CLARK PKY AND PRESIDENT ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2015/08/24 04:00:00+00,2016/06/17 00:00:00+00,Public Service ,"Due to the need to shift work at shaft sites to account for time restrictions, this road section will be open later than anticipated.  As soon as we have a date, that information will be released.  Again, we apologize for any inconvenience this delay will cause.",US 17 DRAINAGE PROJECT,2015/08/24 09:00:00+00,HAUCKR,2018/04/06 13:40:16+00,,,,No,182.624147048759
2,ASHLEY AVE,BETWEEN FISHBURN ST AND SUMTER ST,CLOSED - PARTIAL,NORTHBOUND CLOSED,CONSTRUCTION,NO MAP,2015/08/24 04:00:00+00,2015/12/15 08:00:00+00,Steve Kirk - Public Service,One lane closure (east side),,2015/08/24 09:00:00+00,HAUCKR,2018/04/06 13:40:16+00,,,,No,223.967055575434
3,SHEPPARD ST,CROSSTOWN EXIT TO PERRY ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,NO MAP,2015/08/26 17:30:34+00,,Steve Kirk - Public Service,Expected to be open to local traffic during the day and open to Crosstown traffic again sometime early 2016.  We apologize for any inconvenience this delay will cause. ,,2015/08/26 22:30:34+00,HAUCKR,2018/04/06 13:40:16+00,,,,No,98.6510488899701
4,FISHBURNE ST,KILLIANS ST TO ASHLEY AVE,CLOSED,ALL LANES CLOSED,CONSTRUCTION,NO MAP,2015/08/27 04:00:00+00,2015/09/04 04:00:00+00,Steve Kirk - Public Service,Closed 9AM to 9PM - Open until 9AM for bus traffic to Burke HS,,2015/08/27 09:00:00+00,HAUCKR,2018/04/06 13:40:16+00,,,,No,103.085930939602
6,BULL ST,BETWEEN BARRE ST AND GADSDEN ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/08/31 00:00:00+00,,Charleston PD,,FLOOD 8/81/2015,2015/08/31 05:00:00+00,HAUCKR,2018/04/06 13:40:16+00,,,,No,110.563988248595
7,AMERICA ST,BETWEEN AMHERST ST AND SOUTH ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/08/31 04:00:00+00,,Charleston PD,,FLOOD 8/81/2015,2015/08/31 09:00:00+00,HAUCKR,2018/04/06 13:40:16+00,,,,No,200.025605962444
8,COMING ST,BETWEEN BEAUFAIN ST AND WENTWORTH ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/08/31 14:27:45+00,2015/08/31 14:27:49+00,Charleston PD,,FLOOD 8/81/2015,2015/08/31 19:27:45+00,HAUCKR,2018/04/06 13:40:16+00,,,,No,148.81836361149
9,CALHOUN ST,BETWEEN OGIER ST AND PITT ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/02 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/02 05:00:00+00,HAUCKR,2018/04/06 13:40:16+00,,,,No,291.132373461068
10,DRAKE ST,BETWEEN SOUTH ST AND CHAPEL ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/02 00:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/02 05:00:00+00,HAUCKR,2018/04/06 13:40:16+00,,,,No,334.01160309404
11,AMERICA ST,BETWEEN LEE ST AND COOPER ST,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2015/10/02 05:00:00+00,,Charleston PD,,FLOOD 10/1/2015 - 10/6/2105,2015/10/02 05:00:00+00,HAUCKR,2021/09/27 18:56:47+00,,,,No,123.262523778168
